Order_ID,Customer_ID,Order_Date,Region,Segment,Category,Sub_Category,Sales,Cost,Profit,Discount
1,CUST9925,30-10-2024,West,Corporate,Office Supplies,Storage,1935.25,1703.57,231.68,0.22
2,CUST7392,06-05-2023,North,Corporate,Technology,Phone,3033.43,1706.02,1327.41,0.05
3,CUST4581,23-11-2024,South,Corporate,Office Supplies,Binder,384.61,325.56,59.05,0.18
4,CUST6297,07-03-2023,West,Consumer,Furniture,Table,3569.56,1814.17,1755.39,0.29
5,CUST7050,19-06-2024,North,Consumer,Office Supplies,Binder,4178.97,2444.43,1734.54,0.05
6,CUST6621,29-03-2024,South,Consumer,Furniture,Bookcase,998.68,620.88,377.8,0.16
7,CUST1291,16-02-2023,North,Corporate,Furniture,Bookcase,2216.53,1366.47,850.06,0.18
8,CUST2406,03-03-2023,East,Consumer,Technology,Accessories,783.52,483.32,300.2,0.11
9,CUST8860,30-03-2024,North,Corporate,Office Supplies,Paper,2334.74,1900.64,434.1,0.06
10,CUST6583,11-12-2023,North,Corporate,Office Supplies,Paper,2619.75,1930.67,689.08,0.01
11,CUST5479,22-02-2024,West,Home Office,Office Supplies,Binder,3076.97,1748.36,1328.61,0.02
12,CUST1790,15-10-2024,North,Consumer,Technology,Phone,4749.54,4209.29,540.25,0.24
13,CUST8499,10-02-2024,North,Home Office,Office Supplies,Storage,1592.61,858.53,734.08,0.21
14,CUST3273,24-01-2023,East,Corporate,Furniture,Table,2256.75,1238.54,1018.21,0.15
15,CUST8873,22-10-2024,West,Corporate,Technology,Phone,268.5,231.91,36.59,0.08
16,CUST8954,24-12-2024,North,Corporate,Furniture,Table,3346.36,2090.42,1255.94,0.16
17,CUST1641,16-08-2024,South,Home Office,Furniture,Table,2778.88,1594.92,1183.96,0.29
18,CUST1058,20-02-2024,East,Home Office,Furniture,Chair,3898.15,3414,484.15,0.27
19,CUST9234,27-04-2023,South,Home Office,Technology,Accessories,3029.71,2632.06,397.65,0.03
20,CUST8950,30-10-2023,East,Consumer,Office Supplies,Binder,1060.32,549.34,510.98,0.1
21,CUST2681,15-07-2024,West,Corporate,Technology,Phone,2004.52,1219.83,784.69,0.25
22,CUST6234,26-12-2024,North,Home Office,Office Supplies,Binder,1848.09,1131.72,716.37,0.16
23,CUST7720,21-12-2023,East,Home Office,Office Supplies,Paper,790.53,648.93,141.6,0.02
24,CUST1975,02-02-2023,East,Home Office,Office Supplies,Storage,4935.75,3992.52,943.23,0.06
25,CUST9201,24-04-2024,South,Home Office,Technology,Phone,127.06,104.98,22.08,0.21
26,CUST3038,25-05-2023,East,Corporate,Office Supplies,Storage,3672.14,2968.96,703.18,0.02
27,CUST6426,27-01-2023,South,Corporate,Office Supplies,Paper,1856.48,1014.28,842.2,0.26
28,CUST6573,10-02-2024,South,Home Office,Office Supplies,Binder,3154.16,1994.56,1159.6,0.02
29,CUST6762,18-03-2024,West,Home Office,Furniture,Bookcase,1623.81,1023.12,600.69,0.22
30,CUST8396,20-03-2024,South,Consumer,Technology,Phone,3224.03,2756.18,467.85,0.14
31,CUST2184,28-01-2024,West,Home Office,Technology,Accessories,686.01,538.72,147.29,0.23
32,CUST3547,17-09-2024,South,Corporate,Furniture,Table,2850.26,2304.11,546.15,0.15
33,CUST1890,17-06-2024,East,Consumer,Office Supplies,Storage,2661.39,1785.84,875.55,0.01
34,CUST5171,24-12-2024,South,Corporate,Technology,Accessories,628.67,322.24,306.43,0.19
35,CUST3620,21-12-2024,North,Consumer,Furniture,Chair,1640.34,1153.86,486.48,0.27
36,CUST8169,15-03-2023,North,Corporate,Office Supplies,Storage,1321.53,877.7,443.83,0.23
37,CUST5886,12-10-2024,West,Home Office,Technology,Accessories,1221.11,648.16,572.95,0.09
38,CUST9336,07-05-2023,East,Consumer,Office Supplies,Binder,889.98,775.95,114.03,0.24
39,CUST1519,28-09-2023,South,Corporate,Furniture,Bookcase,3203.68,2718.59,485.09,0.24
40,CUST4906,21-02-2023,North,Consumer,Office Supplies,Binder,1014.19,869.18,145.01,0.16
41,CUST8253,24-02-2024,South,Corporate,Technology,Phone,4056.46,3482.21,574.25,0.1
42,CUST8087,27-04-2023,South,Home Office,Furniture,Chair,639.25,377.91,261.34,0.13
43,CUST6125,13-09-2023,South,Home Office,Office Supplies,Paper,4108.27,3468.58,639.69,0
44,CUST8957,18-01-2023,West,Corporate,Technology,Phone,2602.66,1735.88,866.78,0.07
45,CUST1914,13-01-2023,North,Consumer,Office Supplies,Storage,687.34,436.49,250.85,0.28
46,CUST9524,23-11-2023,West,Home Office,Technology,Laptop,1683.69,1191.24,492.45,0.21
47,CUST9562,17-02-2024,East,Corporate,Furniture,Chair,1881.79,1672.37,209.42,0.29
48,CUST1467,16-11-2024,West,Corporate,Technology,Accessories,1333.73,932.14,401.59,0.09
49,CUST9893,24-10-2023,West,Consumer,Technology,Laptop,1495.72,769.93,725.79,0.18
50,CUST8433,23-03-2024,North,Home Office,Technology,Phone,2563.13,1334.34,1228.79,0.08
51,CUST4710,21-01-2023,South,Home Office,Technology,Accessories,4550.5,2711.3,1839.2,0.04
52,CUST2270,18-01-2024,East,Home Office,Office Supplies,Storage,2498.32,2234.15,264.17,0.07
53,CUST4077,19-02-2023,East,Home Office,Technology,Phone,3393.46,2730.54,662.92,0.07
54,CUST9613,25-08-2023,East,Corporate,Furniture,Table,3668.26,2373.78,1294.48,0.19
55,CUST7315,08-09-2024,South,Consumer,Office Supplies,Binder,3204.3,2288.86,915.44,0.03
56,CUST8358,20-11-2023,West,Consumer,Office Supplies,Binder,4192.98,2634.5,1558.48,0.06
57,CUST2530,10-01-2023,South,Consumer,Office Supplies,Binder,299.8,220.76,79.04,0.2
58,CUST2018,18-06-2023,West,Corporate,Technology,Phone,181.28,127.77,53.51,0.07
59,CUST4675,22-04-2024,South,Consumer,Furniture,Chair,3261.35,1858.14,1403.21,0.21
60,CUST3294,12-10-2023,South,Corporate,Office Supplies,Storage,1995,1745.01,249.99,0.04
61,CUST9549,18-01-2024,North,Consumer,Technology,Laptop,1771.23,966.01,805.22,0.28
62,CUST8545,23-05-2024,South,Corporate,Technology,Phone,4398.96,2653.35,1745.61,0.2
63,CUST7728,03-01-2023,North,Home Office,Office Supplies,Binder,4104.39,2963.7,1140.69,0.16
64,CUST1553,17-06-2024,East,Home Office,Furniture,Chair,1285.08,690.4,594.68,0.27
65,CUST3327,17-01-2024,East,Corporate,Technology,Phone,4512.05,3398.66,1113.39,0.1
66,CUST2271,15-12-2024,East,Corporate,Furniture,Bookcase,1811.13,1431.49,379.64,0.27
67,CUST2989,02-09-2024,West,Corporate,Technology,Accessories,4446.72,3610.52,836.2,0.19
68,CUST6620,04-12-2024,East,Consumer,Technology,Accessories,512.29,289.27,223.02,0.27
69,CUST8697,06-04-2024,South,Corporate,Technology,Phone,3071.5,1547.05,1524.45,0.03
70,CUST6818,15-01-2024,East,Consumer,Furniture,Table,3351.16,1682.36,1668.8,0.05
71,CUST7509,12-02-2024,North,Corporate,Office Supplies,Paper,2788.8,2166.22,622.58,0.2
72,CUST2667,12-10-2024,East,Home Office,Technology,Laptop,1198.92,941,257.92,0.07
73,CUST3027,12-06-2024,North,Corporate,Office Supplies,Binder,1694.46,1353.19,341.27,0.19
74,CUST6544,10-02-2024,North,Home Office,Office Supplies,Binder,4261.19,3251.48,1009.71,0.17
75,CUST1292,27-06-2024,East,Corporate,Technology,Laptop,559.01,361.73,197.28,0.08
76,CUST1159,20-03-2024,West,Consumer,Technology,Phone,1295.55,1152.01,143.54,0.12
77,CUST8273,11-04-2023,South,Home Office,Office Supplies,Storage,4471.03,3364.25,1106.78,0.24
78,CUST3173,17-11-2024,North,Home Office,Office Supplies,Paper,2562.92,1872.88,690.04,0.15
79,CUST4634,29-04-2023,South,Corporate,Furniture,Chair,1056.69,833.71,222.98,0.08
80,CUST9051,06-11-2023,North,Consumer,Furniture,Bookcase,219.15,166.16,52.99,0.05
81,CUST2387,07-09-2024,West,Consumer,Office Supplies,Storage,4708.25,4150.66,557.59,0.27
